sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
43EIA-16	100519	73542	73.16	67690	56485	56.19	56094	55.8
43EIB-16	16253	12357	76.03	10270	7907	48.65	7799	47.98
43EIC-16	19828	13978	70.5	11743	9379	47.3	9365	47.23
43EID-16	24259	16898	69.66	13926	9586	39.52	9529	39.28
43EIE-16	140840	86876	61.68	80145	69613	49.43	66966	47.55
43EOA-16	77022	66697	86.59	66172	65339	84.83	63803	82.84
43EOB-16	37243	32360	86.89	32107	31816	85.43	31207	83.79
43EOC-16	15028	12678	84.36	12480	12347	82.16	12310	81.91
43EOD-16	305919	263521	86.14	261503	256498	83.85	247340	80.85
43EOE-16	134191	116203	86.6	115463	113984	84.94	110878	82.63
94EIA-16	199935	136665	68.35	124639	106688	53.36	100560	50.3
94EIB-16	57026	29883	52.4	26074	22029	38.63	21731	38.11
94EIC-16	35877	25989	72.44	22540	18533	51.66	18422	51.35
94EOA-16	92212	74357	80.64	72044	67390	73.08	66218	71.81
94EOB-16	101014	79509	78.71	78547	75024	74.27	73516	72.78
94EOC-16	58551	44698	76.34	44526	43118	73.64	42846	73.18
94SIA-16	5716	3319	58.07	3079	2477	43.33	2236	39.12
94SIB-16	49740	37529	75.45	34187	27048	54.38	24749	49.76
94SIC-16	86952	66549	76.54	63741	56691	65.2	46986	54.04
94SOA-16	113379	87968	77.59	85158	78870	69.56	77308	68.19
94SOB-16	8917	7096	79.58	7073	6557	73.53	6539	73.33
94SOC-16	73028	53889	73.79	52267	47221	64.66	46653	63.88
EB1-16	684	440	64.33	436	408	59.65	408	59.65
EB2-16	1810	959	52.98	954	897	49.56	897	49.56
