sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
43EIA-23	58113	46398	79.84	46107	43615	75.05	43263	74.45
43EIB-23	59817	48628	81.29	48118	45541	76.13	44602	74.56
43EIC-23	69946	57262	81.87	56815	53804	76.92	53043	75.83
43EID-23	114371	95194	83.23	94361	88850	77.69	87402	76.42
43EIE-23	110411	85190	77.16	84466	81165	73.51	79882	72.35
43EOA-23	122844	107943	87.87	107892	105164	85.61	104083	84.73
43EOB-23	83447	73824	88.47	73786	71908	86.17	71394	85.56
43EOC-23	21117	18151	85.95	18138	17688	83.76	17571	83.21
43EOD-23	93770	81228	86.62	81183	79120	84.38	78411	83.62
43EOE-23	93497	82257	87.98	82216	80062	85.63	79427	84.95
94EIA-23	87001	72688	83.55	72271	69477	79.86	68803	79.08
94EIB-23	65941	52294	79.3	51687	49162	74.55	48294	73.24
94EIC-23	96221	78529	81.61	77995	75063	78.01	73828	76.73
94EOA-23	14069	12109	86.07	12025	11704	83.19	11704	83.19
94EOB-23	93995	78318	83.32	78161	75456	80.28	74888	79.67
94EOC-23	9768	7834	80.2	7806	7719	79.02	7719	79.02
94SIA-23	59555	49088	82.42	48850	46961	78.85	46300	77.74
94SIB-23	86667	70736	81.62	70298	67257	77.6	66680	76.94
94SIC-23	84443	68508	81.13	68231	65178	77.19	64258	76.1
94SOA-23	41239	34832	84.46	34705	33254	80.64	33137	80.35
94SOB-23	2381	2068	86.85	2035	1882	79.04	1882	79.04
94SOC-23	56127	46438	82.74	46275	44696	79.63	44622	79.5
EB1-23	81	41	50.62	36	34	41.98	34	41.98
EB2-23	80	52	65	51	47	58.75	47	58.75
