sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
43EIA-COI	168933	131875	78.06	131691	126719	75.01	123182	72.92
43EIB-COI	101482	88050	86.76	87611	84453	83.22	82352	81.15
43EIC-COI	139331	108408	77.81	108212	104395	74.93	101956	73.18
43EID-COI	210089	162669	77.43	162268	154636	73.6	151859	72.28
43EIE-COI	274020	216580	79.04	216250	208625	76.13	202261	73.81
43EOA-COI	166724	153879	92.3	153778	149413	89.62	149413	89.62
43EOB-COI	87526	80784	92.3	80776	78643	89.85	78643	89.85
43EOC-COI	17670	16084	91.02	16078	15221	86.14	15221	86.14
43EOD-COI	118015	108499	91.94	108379	105042	89.01	105042	89.01
43EOE-COI	121781	112751	92.59	112741	109633	90.02	109633	90.02
94EIA-COI	110838	98626	88.98	98151	95028	85.74	94041	84.85
94EIB-COI	64277	55992	87.11	55783	54183	84.3	54183	84.3
94EIC-COI	130685	114339	87.49	114102	110702	84.71	110436	84.51
94EOA-COI	15821	14744	93.19	14691	13963	88.26	13626	86.13
94EOB-COI	106904	97860	91.54	97837	95273	89.12	92490	86.52
94EOC-COI	8055	7190	89.26	7182	6900	85.66	6819	84.66
94SIA-COI	129008	112960	87.56	112751	109395	84.8	109395	84.8
94SIB-COI	148454	127513	85.89	127336	122813	82.73	122289	82.38
94SIC-COI	133491	116415	87.21	116182	111920	83.84	110779	82.99
94SOA-COI	74409	65383	87.87	65298	63503	85.34	62613	84.15
94SOB-COI	1085	767	70.69	766	703	64.79	703	64.79
94SOC-COI	93027	82294	88.46	82223	79499	85.46	77722	83.55
EB1-COI	745	434	58.26	430	321	43.09	321	43.09
EB2-COI	205	21	10.24	18	17	8.29	17	8.29
