sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
43EIA-ITS	68060	61354	90.15	61236	59454	87.36	58169	85.47
43EIB-ITS	5536	3484	62.93	3424	3328	60.12	3309	59.77
43EIC-ITS	3431	2326	67.79	2254	2194	63.95	2194	63.95
43EID-ITS	14073	10761	76.47	10720	10657	75.73	10484	74.5
43EIE-ITS	67191	34107	50.76	34028	33136	49.32	32848	48.89
43EOA-ITS	148744	130373	87.65	130300	126909	85.32	125919	84.65
43EOB-ITS	26306	21253	80.79	21172	20521	78.01	20267	77.04
43EOC-ITS	8826	6897	78.14	6864	6599	74.77	6599	74.77
43EOD-ITS	45426	31694	69.77	31588	29137	64.14	28491	62.72
43EOE-ITS	58082	41178	70.9	41051	40097	69.04	39587	68.16
94EIA-ITS	25550	17271	67.6	17129	16795	65.73	15445	60.45
94EIB-ITS	12204	5738	47.02	5622	5517	45.21	5450	44.66
94EIC-ITS	4263	2620	61.46	2523	2300	53.95	2300	53.95
94EOA-ITS	54217	35441	65.37	35323	33429	61.66	33074	61
94EOB-ITS	8058	6526	80.99	6518	4682	58.1	4618	57.31
94EOC-ITS	776	585	75.39	584	558	71.91	557	71.78
94SIA-ITS	3290	2330	70.82	2309	2256	68.57	2256	68.57
94SIB-ITS	35481	29724	83.77	29692	28920	81.51	28875	81.38
94SIC-ITS	36244	29812	82.25	29754	28996	80	28989	79.98
94SOA-ITS	13284	8909	67.07	8870	8406	63.28	7928	59.68
94SOB-ITS	175	92	52.57	78	69	39.43	69	39.43
94SOC-ITS	74347	61779	83.1	61754	60219	81	60003	80.71
EB1-ITS	29	0	0	0	0	0	0	0
EB2-ITS	339	26	7.67	26	0	0	0	0
