sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
43EIA-rbcL	8020	4106	51.2	3978	3458	43.12	3354	41.82
43EIB-rbcL	20790	12788	61.51	12537	12239	58.87	11627	55.93
43EIC-rbcL	27821	18929	68.04	18636	15492	55.68	14668	52.72
43EID-rbcL	46887	38522	82.16	38308	38026	81.1	35651	76.04
43EIE-rbcL	8808	3385	38.43	3211	2689	30.53	2689	30.53
43EOA-rbcL	37238	26923	72.3	26837	26806	71.99	26806	71.99
43EOB-rbcL	74778	56585	75.67	56515	56353	75.36	56353	75.36
43EOC-rbcL	67812	48632	71.72	48559	48422	71.41	48422	71.41
43EOD-rbcL	46958	34182	72.79	34098	33996	72.4	33996	72.4
43EOE-rbcL	70024	51376	73.37	51315	51182	73.09	50840	72.6
94EIA-rbcL	77840	45916	58.99	45393	43471	55.85	41793	53.69
94EIB-rbcL	40717	25305	62.15	24960	24059	59.09	23288	57.19
94EIC-rbcL	27866	12681	45.51	12533	12075	43.33	11945	42.87
94EOA-rbcL	57379	44360	77.31	44294	43909	76.52	43642	76.06
94EOB-rbcL	7020	2184	31.11	2139	2042	29.09	2042	29.09
94EOC-rbcL	415	126	30.36	125	121	29.16	121	29.16
94SIA-rbcL	93888	73586	78.38	73362	72808	77.55	67493	71.89
94SIB-rbcL	14763	6295	42.64	6079	5645	38.24	5613	38.02
94SIC-rbcL	13012	8079	62.09	7979	7867	60.46	7756	59.61
94SOA-rbcL	10797	5680	52.61	5593	5492	50.87	5489	50.84
94SOB-rbcL	195	13	6.67	12	12	6.15	12	6.15
94SOC-rbcL	3722	560	15.05	532	501	13.46	501	13.46
EB1-rbcL	184	3	1.63	1	0	0	0	0
EB2-rbcL	170	1	0.59	1	0	0	0	0
