sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
43EIA-tufA	112388	51033	45.41	48316	42253	37.6	40792	36.3
43EIB-tufA	109783	58249	53.06	53249	45219	41.19	43408	39.54
43EIC-tufA	59391	21918	36.9	19741	16483	27.75	15798	26.6
43EID-tufA	92881	44833	48.27	40280	33079	35.61	31909	34.35
43EIE-tufA	81088	33692	41.55	31020	25454	31.39	23509	28.99
43EOA-tufA	133105	70581	53.03	69389	60883	45.74	57387	43.11
43EOB-tufA	176045	86990	49.41	85335	74722	42.44	69826	39.66
43EOC-tufA	147921	73678	49.81	72398	62032	41.94	59029	39.91
43EOD-tufA	93102	50778	54.54	49800	43348	46.56	39781	42.73
43EOE-tufA	131344	71797	54.66	70451	62178	47.34	58774	44.75
94EIA-tufA	171465	58121	33.9	54997	47531	27.72	43563	25.41
94EIB-tufA	189396	76229	40.25	72620	63718	33.64	59408	31.37
94EIC-tufA	237049	74470	31.42	70334	62065	26.18	58871	24.83
94EOA-tufA	217258	91068	41.92	88989	83202	38.3	78552	36.16
94EOB-tufA	90193	15271	16.93	14934	14338	15.9	13609	15.09
94EOC-tufA	8767	4081	46.55	4037	3843	43.83	3773	43.04
94SIA-tufA	126339	73390	58.09	71572	63657	50.39	52703	41.72
94SIB-tufA	129439	56118	43.35	52609	45843	35.42	42842	33.1
94SIC-tufA	80843	47109	58.27	45893	43538	53.86	39487	48.84
94SOA-tufA	134791	54767	40.63	53710	51015	37.85	49941	37.05
94SOB-tufA	2191	994	45.37	984	943	43.04	943	43.04
94SOC-tufA	74663	15079	20.2	14374	13459	18.03	13145	17.61
EB1-tufA	237	2	0.84	1	0	0	0	0
EB2-tufA	42340	6509	15.37	6405	6054	14.3	5729	13.53
